n_samples,n_features,time_elapsed_split
14,8,0.00039386749267578125
14,8,0.0003921985626220703
14,8,0.0003905296325683594
14,8,0.0003886222839355469
14,8,0.0003933906555175781
14,11,0.0004913806915283203
14,11,0.0004911422729492188
14,11,0.0004954338073730469
14,11,0.0004956722259521484
14,11,0.0004894733428955078
14,16,0.0006721019744873047
14,16,0.0006728172302246094
14,16,0.00067138671875
14,16,0.0006630420684814453
14,16,0.0007159709930419922
14,22,0.0009315013885498047
14,22,0.0009210109710693359
14,22,0.0009236335754394531
14,22,0.000881195068359375
14,22,0.0008804798126220703
14,30,0.001207113265991211
14,30,0.0011646747589111328
14,30,0.0011630058288574219
14,30,0.0011603832244873047
14,30,0.0011608600616455078
14,42,0.0015854835510253906
14,42,0.0015892982482910156
14,42,0.001585245132446289
14,42,0.0015861988067626953
14,42,0.001590728759765625
14,59,0.0023055076599121094
14,59,0.002201557159423828
14,59,0.002190828323364258
14,59,0.002185344696044922
14,59,0.0021848678588867188
14,83,0.0030448436737060547
14,83,0.003041982650756836
14,83,0.0030972957611083984
14,83,0.003078460693359375
14,83,0.0032088756561279297
14,116,0.004260063171386719
14,116,0.004339694976806641
14,116,0.004353046417236328
14,116,0.004499673843383789
14,116,0.004492521286010742
14,163,0.005973100662231445
14,163,0.006014585494995117
14,163,0.0059626102447509766
14,163,0.005960226058959961
14,163,0.006061077117919922
14,228,0.008402585983276367
14,228,0.008404970169067383
14,228,0.008399009704589844
14,228,0.008423089981079102
14,228,0.008498430252075195
14,321,0.01206517219543457
14,321,0.012104272842407227
14,321,0.012356996536254883
14,321,0.012372493743896484
14,321,0.012084722518920898
14,450,0.017801284790039062
14,450,0.01793837547302246
14,450,0.01767277717590332
14,450,0.017688989639282227
14,450,0.017609357833862305
14,631,0.026659250259399414
14,631,0.026309728622436523
14,631,0.026372432708740234
14,631,0.0263979434967041
14,631,0.026424169540405273
20,2,0.00023937225341796875
20,2,0.00022411346435546875
20,2,0.0002243518829345703
20,2,0.00022077560424804688
20,2,0.00022268295288085938
20,2,0.0002200603485107422
20,2,0.0002219676971435547
20,2,0.00022029876708984375
20,2,0.0002288818359375
20,2,0.00022029876708984375
20,2,0.00022864341735839844
20,2,0.00022172927856445312
20,2,0.00022172927856445312
20,2,0.00023484230041503906
20,2,0.00023221969604492188
20,3,0.000286102294921875
20,3,0.0002913475036621094
20,3,0.0002849102020263672
20,3,0.00029587745666503906
20,3,0.00028395652770996094
20,4,0.00034737586975097656
20,4,0.0003535747528076172
20,4,0.0003464221954345703
20,4,0.0003476142883300781
20,4,0.0003466606140136719
20,6,0.0004782676696777344
20,6,0.0004794597625732422
20,6,0.00047898292541503906
20,6,0.0004792213439941406
20,6,0.0004787445068359375
20,8,0.0006008148193359375
20,8,0.0005948543548583984
