n_samples,n_features,time_elapsed_sort,time_elapsed_split
10,83,0.0002703666687011719,0.03412055969238281
10,83,0.0002484321594238281,0.0330967903137207
10,83,0.0002491474151611328,0.032798051834106445
10,83,0.00025081634521484375,0.03414726257324219
10,116,0.0003533363342285156,0.046826839447021484
10,116,0.0003783702850341797,0.04756617546081543
10,116,0.00034618377685546875,0.04668712615966797
10,116,0.0003743171691894531,0.04668569564819336
10,116,0.0003840923309326172,0.04728269577026367
10,163,0.0006248950958251953,0.06494927406311035
10,163,0.0005388259887695312,0.06648445129394531
10,163,0.0005266666412353516,0.06566023826599121
10,163,0.0004773139953613281,0.06536555290222168
10,163,0.00047397613525390625,0.06568717956542969
10,228,0.0006816387176513672,0.09345579147338867
10,228,0.0006699562072753906,0.09472799301147461
10,228,0.000865936279296875,0.0977625846862793
10,228,0.0007214546203613281,0.09307074546813965
10,228,0.0006539821624755859,0.09569692611694336
10,321,0.0009865760803222656,0.1251659393310547
10,321,0.0009708404541015625,0.12746310234069824
10,321,0.001041412353515625,0.13222837448120117
10,321,0.0009298324584960938,0.13414812088012695
10,321,0.001013040542602539,0.13284683227539062
10,450,0.00135040283203125,0.18655014038085938
10,450,0.0013759136199951172,0.18422794342041016
10,450,0.00133514404296875,0.18603110313415527
10,450,0.0012927055358886719,0.18796181678771973
10,450,0.0013179779052734375,0.18361115455627441
10,631,0.0020160675048828125,0.2563319206237793
10,631,0.001857757568359375,0.25450873374938965
10,631,0.002027273178100586,0.25318431854248047
10,631,0.0018801689147949219,0.2857182025909424
10,631,0.001961946487426758,0.25717759132385254
14,2,3.0279159545898438e-05,0.0026407241821289062
14,2,4.935264587402344e-05,0.002209186553955078
14,2,2.7418136596679688e-05,0.0022008419036865234
14,2,2.8133392333984375e-05,0.0024802684783935547
14,2,3.7670135498046875e-05,0.002390623092651367
14,2,2.4557113647460938e-05,0.002229452133178711
14,2,2.765655517578125e-05,0.002566814422607422
14,2,2.574920654296875e-05,0.002389192581176758
14,2,2.47955322265625e-05,0.0023047924041748047
14,2,2.5510787963867188e-05,0.0025289058685302734
14,2,2.765655517578125e-05,0.002247333526611328
14,2,2.6702880859375e-05,0.0023479461669921875
14,2,2.5510787963867188e-05,0.0022652149200439453
14,2,2.5987625122070312e-05,0.0022003650665283203
14,2,2.574920654296875e-05,0.0021944046020507812
14,3,3.0040740966796875e-05,0.003270387649536133
14,3,2.8371810913085938e-05,0.003261566162109375
14,3,2.8848648071289062e-05,0.0034961700439453125
14,3,3.123283386230469e-05,0.0032663345336914062
14,3,4.315376281738281e-05,0.0032656192779541016
14,4,3.337860107421875e-05,0.004655599594116211
14,4,3.528594970703125e-05,0.004354715347290039
14,4,3.1948089599609375e-05,0.004690408706665039
14,4,3.218650817871094e-05,0.0046198368072509766
14,4,3.24249267578125e-05,0.004385709762573242
14,6,4.744529724121094e-05,0.008038043975830078
14,6,4.792213439941406e-05,0.007627010345458984
14,6,4.5299530029296875e-05,0.007777214050292969
14,6,4.315376281738281e-05,0.007631778717041016
14,6,5.745887756347656e-05,0.007399797439575195
14,8,4.839897155761719e-05,0.010028600692749023
